Student Name,Section,Mathematics,Science,English,Hindi,Social Science,Computer
Student 1,C,68,66,65,87,96,48
Student 2,A,40,68,45,94,99,54
Student 3,A,93,89,45,41,55,69
Student 4,C,50,86,97,47,42,71
Student 5,B,83,81,43,42,100,61
Student 6,A,45,63,51,86,45,78
Student 7,A,72,52,51,78,58,61
Student 8,A,81,100,95,48,43,68
Student 9,C,59,98,56,66,43,99
Student 10,A,43,46,68,59,65,97
Student 11,C,40,41,89,59,86,67
Student 12,C,64,49,62,92,50,41
Student 13,C,72,54,60,52,66,46
Student 14,A,45,55,74,89,40,89
Student 15,C,64,89,86,58,45,70
Student 16,B,47,43,82,70,88,40
Student 17,A,83,84,91,94,75,35
Student 18,A,70,83,92,66,68,77
Student 19,A,93,94,50,44,61,51
Student 20,A,81,67,66,91,75,68
Student 21,A,55,36,63,47,65,55
Student 22,C,82,49,43,41,68,91
Student 23,C,80,69,78,36,85,89
Student 24,A,61,78,37,46,51,36
Student 25,C,69,49,64,65,73,49
Student 26,A,44,72,63,56,93,44
Student 27,C,56,90,35,87,75,54
Student 28,C,66,55,44,97,44,39
Student 29,C,55,93,42,96,36,82
Student 30,C,94,35,64,62,93,53
Student 31,B,83,68,43,86,47,90
Student 32,A,69,99,39,42,44,51
Student 33,B,63,57,77,56,62,40
Student 34,C,76,99,44,83,99,74
Student 35,B,42,48,100,35,68,81
Student 36,A,64,73,65,84,51,40
Student 37,A,39,99,70,68,79,80
Student 38,C,75,60,97,93,43,61
Student 39,B,86,54,62,71,66,66
Student 40,B,69,82,51,89,82,48
Student 41,B,43,55,95,97,71,80
Student 42,A,62,35,66,54,55,87
Student 43,A,75,76,95,59,91,54
Student 44,B,62,97,87,72,73,65
Student 45,A,98,37,59,62,36,55
Student 46,A,85,49,47,42,73,57
Student 47,B,93,81,47,42,48,87
Student 48,A,53,74,90,75,52,38
Student 49,B,68,65,80,42,68,57
Student 50,B,52,42,89,41,49,77
