student_id,student_name,section,gender,Attendance %,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,valid_subjects,total_marks,average_marks,percentage,failed_subjects_count,pass_status,grade,rank
STU-101,James White,SECTION A,Male,67,63.0,64.0,70.0,67.0,67.0,63.0,6,394.0,65.67,65.67,0,Pass,C,82
STU-102,Jessica Jones,SECTION A,Female,67,52.0,53.0,61.0,61.0,57.0,68.0,6,352.0,58.67,58.67,0,Pass,D,94
STU-103,Andrew Williams,SECTION A,Male,100,99.0,98.0,97.0,100.0,100.0,98.0,6,592.0,98.67,98.67,0,Pass,A+,1
STU-104,John Smith,SECTION A,Male,80,63.0,76.0,67.0,79.0,68.0,68.0,6,421.0,70.17,70.17,0,Pass,B,67
STU-105,Jessica Taylor,SECTION A,Female,60,52.0,44.0,43.0,59.0,54.0,45.0,6,297.0,49.5,49.5,0,Pass,E,106
STU-106,Andrew Miller,SECTION A,Male,79,70.0,71.0,79.0,85.0,88.0,73.0,6,466.0,77.67,77.67,0,Pass,B,47
STU-107,Andrew Wilson,SECTION A,Male,60,42.0,36.0,37.0,49.0,40.0,44.0,6,248.0,41.33,41.33,2,Fail,E,115
STU-108,Donna Rodriguez,SECTION A,Female,85,69.0,76.0,84.0,81.0,92.0,64.0,6,466.0,77.67,77.67,0,Pass,B,47
STU-109,James Harris,SECTION A,Male,91,87.0,87.0,85.0,87.0,81.0,81.0,6,508.0,84.67,84.67,0,Pass,A,23
STU-110,Mark Hernandez,SECTION A,Male,95,80.0,90.0,89.0,90.0,97.0,89.0,6,535.0,89.17,89.17,0,Pass,A,12
STU-111,Susan Harris,SECTION A,Female,78,71.0,68.0,69.0,81.0,75.0,59.0,6,423.0,70.5,70.5,0,Pass,B,65
STU-112,Jennifer Gonzalez,SECTION A,Female,91,81.0,87.0,92.0,100.0,97.0,92.0,6,549.0,91.5,91.5,0,Pass,A+,8
STU-113,Nancy Martin,SECTION A,Female,60,35.0,42.0,44.0,55.0,53.0,47.0,6,276.0,46.0,46.0,1,Fail,E,110
STU-114,Patricia White,SECTION A,Female,73,70.0,70.0,66.0,82.0,82.0,77.0,6,447.0,74.5,74.5,0,Pass,B,53
STU-115,Linda Robinson,SECTION A,Female,92,89.0,78.0,85.0,88.0,96.0,94.0,6,530.0,88.33,88.33,0,Pass,A,15
STU-116,Emily Martinez,SECTION A,Female,85,80.0,76.0,86.0,85.0,99.0,81.0,6,507.0,84.5,84.5,0,Pass,A,24
STU-117,Kevin Lewis,SECTION A,Male,60,46.0,50.0,50.0,57.0,68.0,46.0,6,317.0,52.83,52.83,0,Pass,D,99
STU-118,Joshua Miller,SECTION A,Male,63,52.0,43.0,45.0,58.0,59.0,54.0,6,311.0,51.83,51.83,0,Pass,D,101
STU-119,John Perez,SECTION A,Male,75,76.0,74.0,69.0,85.0,89.0,80.0,6,473.0,78.83,78.83,0,Pass,B,43
STU-120,Karen Williams,SECTION A,Female,94,88.0,98.0,97.0,100.0,100.0,97.0,6,580.0,96.67,96.67,0,Pass,A+,2
STU-121,Michael Gonzalez,SECTION A,Male,84,75.0,85.0,83.0,96.0,87.0,74.0,6,500.0,83.33,83.33,0,Pass,A,27
STU-122,Nancy Garcia,SECTION A,Female,64,64.0,62.0,69.0,72.0,70.0,62.0,6,399.0,66.5,66.5,0,Pass,C,80
STU-123,Susan Perez,SECTION A,Female,60,36.0,45.0,43.0,51.0,60.0,45.0,6,280.0,46.67,46.67,1,Fail,E,108
